strain,rep,hpi,source,target,weight,tx,ty,px_size_x_source,px_size_y_source,px_size_x_target,px_size_y_target,warning
PR8,0,8,0,1,3.2757393076814944e-09,5.454077972027496e-07,6.905134508596349e-07,1.029848558931068e-07,1.029848558861679e-07,1.029848558931068e-07,1.029848558861679e-07,
PR8,0,8,1,4,3.314773790547927e-09,-6.630165230611922e-07,4.2347372622535426e-07,1.029848558931068e-07,1.029848558861679e-07,1.029848558861679e-07,1.029848558861679e-07,pixel sizes differ between source_img and target_img
PR8,0,8,4,3,3.257851638648775e-09,2.1472342845122057e-07,6.88144823531328e-07,1.029848558861679e-07,1.029848558861679e-07,1.029848558861679e-07,1.029848558931068e-07,pixel sizes differ between source_img and target_img
PR8,0,8,2,3,3.2936256647472868e-09,-5.975181386060783e-07,4.392303966045444e-07,1.029848558931068e-07,1.029848558861679e-07,1.029848558861679e-07,1.029848558931068e-07,pixel sizes differ between source_img and target_img
PR8,0,8,6,11,3.3815859954901117e-09,-5.582809041517722e-07,5.880435064850762e-08,1.029848558861679e-07,1.029848558861679e-07,1.029848558931068e-07,1.029848558861679e-07,pixel sizes differ between source_img and target_img
PR8,0,8,7,10,3.40446012029295e-09,-8.222311106093911e-07,1.7486828058044053e-07,1.029848558861679e-07,1.029848558861679e-07,1.029848558861679e-07,1.029848558861679e-07,
PR8,0,8,10,11,3.3280521651180465e-09,-6.600299331244731e-07,-7.738282008429688e-07,1.029848558861679e-07,1.029848558861679e-07,1.029848558931068e-07,1.029848558861679e-07,pixel sizes differ between source_img and target_img
PR8,0,8,10,9,3.2856068369965194e-09,6.76919453025509e-07,7.181134052013774e-07,1.029848558861679e-07,1.029848558861679e-07,1.029848558861679e-07,1.029848558861679e-07,
PR8,0,8,8,9,3.381585995490226e-09,-6.010196154564668e-07,-8.877294459530859e-08,1.029848558931068e-07,1.029848558861679e-07,1.029848558861679e-07,1.029848558861679e-07,pixel sizes differ between source_img and target_img
PR8,1,2,5,6,1.3721899044291848e-11,,,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,overlap is smaller than pixel size
PR8,1,3,0,1,9.74901047026383e-10,1.1614452337721092e-06,5.868615743470849e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,
